ticker,contract_type,expiration_date,strike_price
O:SPY250918C00735000,call,2025-09-18,735.0
O:SPY250918C00740000,call,2025-09-18,740.0
O:SPY250918C00745000,call,2025-09-18,745.0
O:SPY250918P00500000,put,2025-09-18,500.0
O:SPY250918P00501000,put,2025-09-18,501.0
O:SPY250918P00502000,put,2025-09-18,502.0
O:SPY250918P00503000,put,2025-09-18,503.0
O:SPY250918P00504000,put,2025-09-18,504.0
O:SPY250918P00505000,put,2025-09-18,505.0
O:SPY250918P00506000,put,2025-09-18,506.0
O:SPY250918P00507000,put,2025-09-18,507.0
O:SPY250918P00508000,put,2025-09-18,508.0
O:SPY250918P00509000,put,2025-09-18,509.0
O:SPY250918P00510000,put,2025-09-18,510.0
O:SPY250918P00511000,put,2025-09-18,511.0
O:SPY250918P00512000,put,2025-09-18,512.0
O:SPY250918P00513000,put,2025-09-18,513.0
O:SPY250918P00514000,put,2025-09-18,514.0
O:SPY250918P00515000,put,2025-09-18,515.0
O:SPY250918P00516000,put,2025-09-18,516.0
O:SPY250918P00517000,put,2025-09-18,517.0
O:SPY250918P00518000,put,2025-09-18,518.0
O:SPY250918P00519000,put,2025-09-18,519.0
O:SPY250918P00520000,put,2025-09-18,520.0
O:SPY250918P00521000,put,2025-09-18,521.0
O:SPY250918P00522000,put,2025-09-18,522.0
O:SPY250918P00523000,put,2025-09-18,523.0
O:SPY250918P00524000,put,2025-09-18,524.0
O:SPY250918P00525000,put,2025-09-18,525.0
O:SPY250918P00526000,put,2025-09-18,526.0
O:SPY250918P00527000,put,2025-09-18,527.0
O:SPY250918P00528000,put,2025-09-18,528.0
O:SPY250918P00529000,put,2025-09-18,529.0
O:SPY250918P00530000,put,2025-09-18,530.0
O:SPY250918P00531000,put,2025-09-18,531.0
O:SPY250918P00532000,put,2025-09-18,532.0
O:SPY250918P00533000,put,2025-09-18,533.0
O:SPY250918P00534000,put,2025-09-18,534.0
O:SPY250918P00535000,put,2025-09-18,535.0
O:SPY250918P00536000,put,2025-09-18,536.0
O:SPY250918P00537000,put,2025-09-18,537.0
O:SPY250918P00538000,put,2025-09-18,538.0
O:SPY250918P00539000,put,2025-09-18,539.0
O:SPY250918P00540000,put,2025-09-18,540.0
O:SPY250918P00541000,put,2025-09-18,541.0
O:SPY250918P00542000,put,2025-09-18,542.0
O:SPY250918P00543000,put,2025-09-18,543.0
O:SPY250918P00544000,put,2025-09-18,544.0
O:SPY250918P00545000,put,2025-09-18,545.0
O:SPY250918P00546000,put,2025-09-18,546.0
O:SPY250918P00547000,put,2025-09-18,547.0
O:SPY250918P00548000,put,2025-09-18,548.0
O:SPY250918P00549000,put,2025-09-18,549.0
O:SPY250918P00550000,put,2025-09-18,550.0
O:SPY250918P00551000,put,2025-09-18,551.0
O:SPY250918P00552000,put,2025-09-18,552.0
O:SPY250918P00553000,put,2025-09-18,553.0
O:SPY250918P00554000,put,2025-09-18,554.0
O:SPY250918P00555000,put,2025-09-18,555.0
O:SPY250918P00556000,put,2025-09-18,556.0
O:SPY250918P00557000,put,2025-09-18,557.0
O:SPY250918P00558000,put,2025-09-18,558.0
O:SPY250918P00559000,put,2025-09-18,559.0
O:SPY250918P00560000,put,2025-09-18,560.0
O:SPY250918P00561000,put,2025-09-18,561.0
O:SPY250918P00562000,put,2025-09-18,562.0
O:SPY250918P00563000,put,2025-09-18,563.0
O:SPY250918P00564000,put,2025-09-18,564.0
O:SPY250918P00565000,put,2025-09-18,565.0
O:SPY250918P00566000,put,2025-09-18,566.0
O:SPY250918P00567000,put,2025-09-18,567.0
O:SPY250918P00568000,put,2025-09-18,568.0
O:SPY250918P00569000,put,2025-09-18,569.0
O:SPY250918P00570000,put,2025-09-18,570.0
O:SPY250918P00571000,put,2025-09-18,571.0
O:SPY250918P00572000,put,2025-09-18,572.0
O:SPY250918P00573000,put,2025-09-18,573.0
O:SPY250918P00574000,put,2025-09-18,574.0
O:SPY250918P00575000,put,2025-09-18,575.0
O:SPY250918P00576000,put,2025-09-18,576.0
O:SPY250918P00577000,put,2025-09-18,577.0
O:SPY250918P00578000,put,2025-09-18,578.0
O:SPY250918P00579000,put,2025-09-18,579.0
O:SPY250918P00580000,put,2025-09-18,580.0
O:SPY250918P00581000,put,2025-09-18,581.0
O:SPY250918P00582000,put,2025-09-18,582.0
O:SPY250918P00583000,put,2025-09-18,583.0
O:SPY250918P00584000,put,2025-09-18,584.0
O:SPY250918P00585000,put,2025-09-18,585.0
O:SPY250918P00586000,put,2025-09-18,586.0
O:SPY250918P00587000,put,2025-09-18,587.0
O:SPY250918P00588000,put,2025-09-18,588.0
O:SPY250918P00589000,put,2025-09-18,589.0
O:SPY250918P00590000,put,2025-09-18,590.0
O:SPY250918P00591000,put,2025-09-18,591.0
O:SPY250918P00592000,put,2025-09-18,592.0
O:SPY250918P00593000,put,2025-09-18,593.0
O:SPY250918P00594000,put,2025-09-18,594.0
O:SPY250918P00595000,put,2025-09-18,595.0
O:SPY250918P00596000,put,2025-09-18,596.0
O:SPY250918P00597000,put,2025-09-18,597.0
O:SPY250918P00598000,put,2025-09-18,598.0
O:SPY250918P00599000,put,2025-09-18,599.0
O:SPY250918P00600000,put,2025-09-18,600.0
O:SPY250918P00601000,put,2025-09-18,601.0
O:SPY250918P00602000,put,2025-09-18,602.0
O:SPY250918P00603000,put,2025-09-18,603.0
O:SPY250918P00604000,put,2025-09-18,604.0
O:SPY250918P00605000,put,2025-09-18,605.0
O:SPY250918P00606000,put,2025-09-18,606.0
O:SPY250918P00607000,put,2025-09-18,607.0
O:SPY250918P00608000,put,2025-09-18,608.0
O:SPY250918P00609000,put,2025-09-18,609.0
O:SPY250918P00610000,put,2025-09-18,610.0
O:SPY250918P00611000,put,2025-09-18,611.0
O:SPY250918P00612000,put,2025-09-18,612.0
O:SPY250918P00613000,put,2025-09-18,613.0
O:SPY250918P00614000,put,2025-09-18,614.0
O:SPY250918P00615000,put,2025-09-18,615.0
O:SPY250918P00616000,put,2025-09-18,616.0
O:SPY250918P00617000,put,2025-09-18,617.0
O:SPY250918P00618000,put,2025-09-18,618.0
O:SPY250918P00619000,put,2025-09-18,619.0
O:SPY250918P00620000,put,2025-09-18,620.0
O:SPY250918P00621000,put,2025-09-18,621.0
O:SPY250918P00622000,put,2025-09-18,622.0
O:SPY250918P00623000,put,2025-09-18,623.0
O:SPY250918P00624000,put,2025-09-18,624.0
O:SPY250918P00625000,put,2025-09-18,625.0
O:SPY250918P00626000,put,2025-09-18,626.0
O:SPY250918P00627000,put,2025-09-18,627.0
O:SPY250918P00628000,put,2025-09-18,628.0
O:SPY250918P00629000,put,2025-09-18,629.0
O:SPY250918P00630000,put,2025-09-18,630.0
O:SPY250918P00631000,put,2025-09-18,631.0
O:SPY250918P00632000,put,2025-09-18,632.0
O:SPY250918P00633000,put,2025-09-18,633.0
O:SPY250918P00634000,put,2025-09-18,634.0
O:SPY250918P00635000,put,2025-09-18,635.0
O:SPY250918P00636000,put,2025-09-18,636.0
O:SPY250918P00637000,put,2025-09-18,637.0
O:SPY250918P00638000,put,2025-09-18,638.0
O:SPY250918P00639000,put,2025-09-18,639.0
O:SPY250918P00640000,put,2025-09-18,640.0
O:SPY250918P00641000,put,2025-09-18,641.0
O:SPY250918P00642000,put,2025-09-18,642.0
O:SPY250918P00643000,put,2025-09-18,643.0
O:SPY250918P00644000,put,2025-09-18,644.0
O:SPY250918P00645000,put,2025-09-18,645.0
O:SPY250918P00646000,put,2025-09-18,646.0
O:SPY250918P00647000,put,2025-09-18,647.0
O:SPY250918P00648000,put,2025-09-18,648.0
O:SPY250918P00649000,put,2025-09-18,649.0
O:SPY250918P00650000,put,2025-09-18,650.0
O:SPY250918P00651000,put,2025-09-18,651.0
O:SPY250918P00652000,put,2025-09-18,652.0
O:SPY250918P00653000,put,2025-09-18,653.0
O:SPY250918P00654000,put,2025-09-18,654.0
O:SPY250918P00655000,put,2025-09-18,655.0
O:SPY250918P00656000,put,2025-09-18,656.0
O:SPY250918P00657000,put,2025-09-18,657.0
O:SPY250918P00658000,put,2025-09-18,658.0
O:SPY250918P00659000,put,2025-09-18,659.0
O:SPY250918P00660000,put,2025-09-18,660.0
O:SPY250918P00661000,put,2025-09-18,661.0
O:SPY250918P00662000,put,2025-09-18,662.0
O:SPY250918P00663000,put,2025-09-18,663.0
O:SPY250918P00664000,put,2025-09-18,664.0
O:SPY250918P00665000,put,2025-09-18,665.0
O:SPY250918P00666000,put,2025-09-18,666.0
O:SPY250918P00667000,put,2025-09-18,667.0
O:SPY250918P00668000,put,2025-09-18,668.0
O:SPY250918P00669000,put,2025-09-18,669.0
O:SPY250918P00670000,put,2025-09-18,670.0
O:SPY250918P00671000,put,2025-09-18,671.0
O:SPY250918P00672000,put,2025-09-18,672.0
O:SPY250918P00673000,put,2025-09-18,673.0
O:SPY250918P00674000,put,2025-09-18,674.0
O:SPY250918P00675000,put,2025-09-18,675.0
O:SPY250918P00676000,put,2025-09-18,676.0
O:SPY250918P00677000,put,2025-09-18,677.0
O:SPY250918P00678000,put,2025-09-18,678.0
O:SPY250918P00679000,put,2025-09-18,679.0
O:SPY250918P00680000,put,2025-09-18,680.0
O:SPY250918P00681000,put,2025-09-18,681.0
O:SPY250918P00682000,put,2025-09-18,682.0
O:SPY250918P00683000,put,2025-09-18,683.0
O:SPY250918P00684000,put,2025-09-18,684.0
O:SPY250918P00685000,put,2025-09-18,685.0
O:SPY250918P00686000,put,2025-09-18,686.0
O:SPY250918P00687000,put,2025-09-18,687.0
O:SPY250918P00688000,put,2025-09-18,688.0
O:SPY250918P00689000,put,2025-09-18,689.0
O:SPY250918P00690000,put,2025-09-18,690.0
O:SPY250918P00691000,put,2025-09-18,691.0
O:SPY250918P00692000,put,2025-09-18,692.0
O:SPY250918P00693000,put,2025-09-18,693.0
O:SPY250918P00694000,put,2025-09-18,694.0
O:SPY250918P00695000,put,2025-09-18,695.0
O:SPY250918P00696000,put,2025-09-18,696.0
O:SPY250918P00698000,put,2025-09-18,698.0
O:SPY250918P00700000,put,2025-09-18,700.0
O:SPY250918P00702000,put,2025-09-18,702.0
O:SPY250918P00704000,put,2025-09-18,704.0
O:SPY250918P00705000,put,2025-09-18,705.0
O:SPY250918P00706000,put,2025-09-18,706.0
O:SPY250918P00708000,put,2025-09-18,708.0
O:SPY250918P00710000,put,2025-09-18,710.0
O:SPY250918P00715000,put,2025-09-18,715.0
O:SPY250918P00720000,put,2025-09-18,720.0
O:SPY250918P00725000,put,2025-09-18,725.0
O:SPY250918P00730000,put,2025-09-18,730.0
O:SPY250918P00735000,put,2025-09-18,735.0
O:SPY250918P00740000,put,2025-09-18,740.0
O:SPY250918P00745000,put,2025-09-18,745.0
O:SPY250919C00150000,call,2025-09-19,150.0
O:SPY250919C00155000,call,2025-09-19,155.0
O:SPY250919C00160000,call,2025-09-19,160.0
O:SPY250919C00165000,call,2025-09-19,165.0
O:SPY250919C00170000,call,2025-09-19,170.0
O:SPY250919C00175000,call,2025-09-19,175.0
O:SPY250919C00180000,call,2025-09-19,180.0
O:SPY250919C00185000,call,2025-09-19,185.0
O:SPY250919C00190000,call,2025-09-19,190.0
O:SPY250919C00195000,call,2025-09-19,195.0
O:SPY250919C00200000,call,2025-09-19,200.0
O:SPY250919C00205000,call,2025-09-19,205.0
O:SPY250919C00210000,call,2025-09-19,210.0
O:SPY250919C00215000,call,2025-09-19,215.0
O:SPY250919C00220000,call,2025-09-19,220.0
O:SPY250919C00225000,call,2025-09-19,225.0
O:SPY250919C00230000,call,2025-09-19,230.0
O:SPY250919C00235000,call,2025-09-19,235.0
O:SPY250919C00240000,call,2025-09-19,240.0
O:SPY250919C00245000,call,2025-09-19,245.0
O:SPY250919C00250000,call,2025-09-19,250.0
O:SPY250919C00255000,call,2025-09-19,255.0
O:SPY250919C00260000,call,2025-09-19,260.0
O:SPY250919C00265000,call,2025-09-19,265.0
O:SPY250919C00270000,call,2025-09-19,270.0
O:SPY250919C00275000,call,2025-09-19,275.0
O:SPY250919C00280000,call,2025-09-19,280.0
O:SPY250919C00285000,call,2025-09-19,285.0
O:SPY250919C00290000,call,2025-09-19,290.0
O:SPY250919C00295000,call,2025-09-19,295.0
O:SPY250919C00300000,call,2025-09-19,300.0
O:SPY250919C00305000,call,2025-09-19,305.0
O:SPY250919C00310000,call,2025-09-19,310.0
O:SPY250919C00315000,call,2025-09-19,315.0
O:SPY250919C00320000,call,2025-09-19,320.0
O:SPY250919C00325000,call,2025-09-19,325.0
O:SPY250919C00330000,call,2025-09-19,330.0
O:SPY250919C00335000,call,2025-09-19,335.0
O:SPY250919C00340000,call,2025-09-19,340.0
O:SPY250919C00345000,call,2025-09-19,345.0
O:SPY250919C00350000,call,2025-09-19,350.0
O:SPY250919C00355000,call,2025-09-19,355.0
O:SPY250919C00360000,call,2025-09-19,360.0
O:SPY250919C00365000,call,2025-09-19,365.0
O:SPY250919C00370000,call,2025-09-19,370.0
O:SPY250919C00375000,call,2025-09-19,375.0
O:SPY250919C00380000,call,2025-09-19,380.0
O:SPY250919C00385000,call,2025-09-19,385.0
O:SPY250919C00390000,call,2025-09-19,390.0
O:SPY250919C00395000,call,2025-09-19,395.0
O:SPY250919C00400000,call,2025-09-19,400.0
O:SPY250919C00405000,call,2025-09-19,405.0
O:SPY250919C00410000,call,2025-09-19,410.0
O:SPY250919C00415000,call,2025-09-19,415.0
O:SPY250919C00420000,call,2025-09-19,420.0
O:SPY250919C00425000,call,2025-09-19,425.0
O:SPY250919C00430000,call,2025-09-19,430.0
O:SPY250919C00435000,call,2025-09-19,435.0
O:SPY250919C00440000,call,2025-09-19,440.0
O:SPY250919C00445000,call,2025-09-19,445.0
O:SPY250919C00450000,call,2025-09-19,450.0
O:SPY250919C00455000,call,2025-09-19,455.0
O:SPY250919C00460000,call,2025-09-19,460.0
O:SPY250919C00465000,call,2025-09-19,465.0
O:SPY250919C00470000,call,2025-09-19,470.0
O:SPY250919C00475000,call,2025-09-19,475.0
O:SPY250919C00480000,call,2025-09-19,480.0
O:SPY250919C00485000,call,2025-09-19,485.0
O:SPY250919C00490000,call,2025-09-19,490.0
O:SPY250919C00495000,call,2025-09-19,495.0
O:SPY250919C00500000,call,2025-09-19,500.0
O:SPY250919C00501000,call,2025-09-19,501.0
O:SPY250919C00502000,call,2025-09-19,502.0
O:SPY250919C00503000,call,2025-09-19,503.0
O:SPY250919C00504000,call,2025-09-19,504.0
O:SPY250919C00505000,call,2025-09-19,505.0
O:SPY250919C00506000,call,2025-09-19,506.0
O:SPY250919C00507000,call,2025-09-19,507.0
O:SPY250919C00508000,call,2025-09-19,508.0
O:SPY250919C00509000,call,2025-09-19,509.0
O:SPY250919C00510000,call,2025-09-19,510.0
O:SPY250919C00511000,call,2025-09-19,511.0
O:SPY250919C00512000,call,2025-09-19,512.0
O:SPY250919C00513000,call,2025-09-19,513.0
O:SPY250919C00514000,call,2025-09-19,514.0
O:SPY250919C00515000,call,2025-09-19,515.0
O:SPY250919C00516000,call,2025-09-19,516.0
O:SPY250919C00517000,call,2025-09-19,517.0
O:SPY250919C00518000,call,2025-09-19,518.0
O:SPY250919C00519000,call,2025-09-19,519.0
O:SPY250919C00520000,call,2025-09-19,520.0
O:SPY250919C00521000,call,2025-09-19,521.0
O:SPY250919C00522000,call,2025-09-19,522.0
O:SPY250919C00523000,call,2025-09-19,523.0
O:SPY250919C00524000,call,2025-09-19,524.0
O:SPY250919C00525000,call,2025-09-19,525.0
O:SPY250919C00526000,call,2025-09-19,526.0
O:SPY250919C00527000,call,2025-09-19,527.0
O:SPY250919C00528000,call,2025-09-19,528.0
O:SPY250919C00529000,call,2025-09-19,529.0
O:SPY250919C00530000,call,2025-09-19,530.0
O:SPY250919C00531000,call,2025-09-19,531.0
O:SPY250919C00532000,call,2025-09-19,532.0
O:SPY250919C00533000,call,2025-09-19,533.0
O:SPY250919C00534000,call,2025-09-19,534.0
O:SPY250919C00535000,call,2025-09-19,535.0
O:SPY250919C00536000,call,2025-09-19,536.0
O:SPY250919C00537000,call,2025-09-19,537.0
O:SPY250919C00538000,call,2025-09-19,538.0
O:SPY250919C00539000,call,2025-09-19,539.0
O:SPY250919C00540000,call,2025-09-19,540.0
O:SPY250919C00541000,call,2025-09-19,541.0
O:SPY250919C00542000,call,2025-09-19,542.0
O:SPY250919C00543000,call,2025-09-19,543.0
O:SPY250919C00544000,call,2025-09-19,544.0
O:SPY250919C00545000,call,2025-09-19,545.0
O:SPY250919C00546000,call,2025-09-19,546.0
O:SPY250919C00547000,call,2025-09-19,547.0
O:SPY250919C00548000,call,2025-09-19,548.0
O:SPY250919C00549000,call,2025-09-19,549.0
O:SPY250919C00550000,call,2025-09-19,550.0
O:SPY250919C00551000,call,2025-09-19,551.0
O:SPY250919C00552000,call,2025-09-19,552.0
O:SPY250919C00553000,call,2025-09-19,553.0
O:SPY250919C00554000,call,2025-09-19,554.0
O:SPY250919C00555000,call,2025-09-19,555.0
O:SPY250919C00556000,call,2025-09-19,556.0
O:SPY250919C00557000,call,2025-09-19,557.0
O:SPY250919C00558000,call,2025-09-19,558.0
O:SPY250919C00559000,call,2025-09-19,559.0
O:SPY250919C00560000,call,2025-09-19,560.0
O:SPY250919C00561000,call,2025-09-19,561.0
O:SPY250919C00562000,call,2025-09-19,562.0
O:SPY250919C00563000,call,2025-09-19,563.0
